"authors","paper_count"
"Wada-Katsumata A; Robertson HM; Silverman J; Schal C.","1"
"Dongmei Jiang, Kunhong Jiang, Rui Li, Liangbin Zhao, Zile Liu, Bangjie Xiong, Du Jin, Xiaoxia Hao, Li Zhu, Bo Kang & Lin Bai","1"
"Meng Yue Wu; Giovanni Forcina; Gabriel Weijie Low; Keren R. Sadanandan; Chyi Yin Gwee; Hein van Grouw; Shaoyuan Wu; Scott V. Edwards; Maude W. Baldwin; Frank E. Rheindt","1"
"Katerina Nikolouli; Hervé Colinet; Christian Stauffer; Kostas Bourtzis","1"
"Wen, FS; Yang, J; Huang, XR; Huang, XL","1"
"Lei Gao; Itay Gonda; Honghe Sun; Qiyue Ma; Kan Bao; Denise M. Tieman; Elizabeth A. Burzynski-Chang; Tara L. Fish; Kaitlin A. Stromberg; Gavin L. Sacks; Theodore W. Thannhauser; Majid R. Foolad; Maria Jose Diez; Jose Blanca; Joaquin Canizares; Yimin Xu; Esther van der Knaap; Sanwen Huang; Harry J. Klee; James J. Giovannoni; Zhangjun Fei.","1"
"Napamanee Kornthong; Scott F. Cummins; Charoonroj Chotwiwatthanakun; Kanjana Khornchatri; Attakorn Engsusophon; Peter J. Hanna; Prasert Sobhon ","1"
"L. M. Beaver; B. L. Rush; B. O. Gvakharia; J. M. Giebultowicz","1"
"Martin Klingler; Gregor Bucher","1"
"Vasco Medici; Sibylle Chantal Vonesch; Steven N. Fry; Ernst Hafen","1"
"Ali, B., Zhou, Y., Zhang, Q., Niu, C., & Zhu, Z.","1"
" Xuan Deng; Lianlian Liu; Jing Deng; Xingfu Zha","1"
"Kim Rohlfing; Lennart Yue; Sebastian Franke; Cen Zeng; Lars Podsiadlowski; Susanne Dobler","1"
"Viola Günther,Dominique Waldvogel,Michael Nosswitz, OlegGeorgie, WalterSchaffner","1"
"Mark A. Hanson; Bruno Lemaitre; Robert L. Unckless","1"
"Cai, R., Wu, X., Wang, X., & Xu, X.","1"
